ID,AR [hms],DEC [dms],mu-ra*cos(dec) [mas/yr],mu-dec [mas/yr],plx [mas],radvel [km/s]
* pi.05 Ori,04 54 15.097,+02 26 26.418,0.561,1.34,3.2945,24.2
* pi.06 Ori,04 58 32.902,+01 42 50.449,-0.589,-6.482,4.2093,14.73
* ome Eri,04 52 53.67,-05 27 9.697,-17.86,25.57,13.88,-6.0
* psi Eri,05 01 26.346,-07 10 26.266,1.71,6.29,4.41,20.7
* 64 Eri,04 59 55.737,-12 32 14.7,39.894,-87.358,11.5441,-8.9
HD 32309,05 01 25.581,-20 03 6.908,36.928,-15.404,16.5691,24.2
* eta Aur,05 06 30.893,+41 14 4.113,31.45,-67.87,13.4,7.3
* mu. Aur,05 13 25.722,+38 29 4.196,-20.673,-75.488,20.1016,26.0
* 11 Ori,05 04 34.149,+15 24 14.777,17.8,-31.15,8.93,16.8
* 15 Ori,05 09 41.957,+15 35 49.967,4.185,-7.263,9.8438,28.79
* rho Ori,05 13 17.48,+02 51 40.548,0.83,3.91,9.32,40.5
* bet Eri,05 07 50.975,-05 05 11.389,-88.481,-70.497,36.2456,-6.0
* bet Ori,05 14 32.272,-08 12 5.898,1.31,0.5,3.78,17.8
* lam Eri,05 09 8.783,-08 45 14.691,0.25,-1.97,4.02,2.0
* iot Lep,05 12 17.902,-11 52 9.186,24.39,-31.02,14.07,23.5
* mu. Lep,05 12 55.903,-16 12 19.669,42.803,-16.017,19.1775,27.1
* eps Lep,05 05 27.665,-22 22 15.724,21.13,-73.11,15.29,1.011
* gam Cae,05 04 24.402,-35 28 58.716,126.17,-43.67,17.99,9.7
* lam Aur,05 19 8.475,+40 05 56.585,520.569,-664.488,79.6021,66.57
* sig Aur,05 24 39.141,+37 23 7.257,-0.564,-10.953,6.3543,-19.4
* n Tau,05 19 16.606,+22 05 47.421,11.173,-75.077,14.0108,17.97
* gam Ori,05 25 7.863,+06 20 58.932,-8.11,-12.88,12.92,18.2
* psi01 Ori,05 24 44.827,+01 50 47.202,1.047,0.433,2.9321,19.3
* o Ori,05 21 45.747,-00 22 56.881,-0.077,1.563,2.8587,28.8
* eta Ori,05 24 28.617,-02 23 49.731,-0.71,-3.46,3.34,19.8
* tau Ori,05 17 36.389,-06 50 39.87,-17.61,-9.24,6.6,20.1
* e Ori,05 23 56.828,-07 48 29.033,-14.82,-45.02,20.73,-18.309
* lam Lep,05 19 34.524,-13 10 36.441,-3.3,-4.91,3.83,20.2
HD 34968,05 20 26.915,-21 14 23.149,17.322,-8.57,7.8223,30.9
* omi Col,05 17 29.089,-34 53 42.723,96.167,-339.569,30.788,21.1
* chi Aur,05 32 43.673,+32 11 31.275,-1.52,-4.33,0.01,-0.2
* bet Tau,05 26 17.513,+28 36 26.826,22.76,-173.58,24.36,9.2
* o Tau,05 27 38.084,+21 56 13.074,0.05,-7.06,5.22,16.5
* 119 Tau,05 32 12.753,+18 35 39.244,1.86,-4.48,1.82,23.75
* phi01 Ori,05 34 49.238,+09 29 22.488,0.27,-2.26,3.0,33.2
* lam Ori,05 35 8.278,+09 56 2.961,-0.34,-2.94,2.97,30.1
* phi02 Ori,05 36 54.389,+09 17 26.417,98.301,-305.022,28.6722,99.083
Cl Collinder 69,05 35 10.1,+09 48 47.0,1.194,-2.118,2.462,27.45
* lam Ori A,05 35 8.276,+09 56 2.991,2.896,-3.183,2.5936,34.0
* 32 Ori,05 30 47.051,+05 56 53.292,5.1,-33.3,10.77,18.6
* psi02 Ori,05 26 50.229,+03 05 44.422,1.031,-1.019,2.9943,12.0
* 31 Ori,05 29 43.982,-01 05 32.058,0.754,-25.459,6.517,6.02
* eps Ori,05 36 12.813,-01 12 6.909,1.44,-0.78,1.65,27.3
* del Ori,05 32 0.4,-00 17 56.742,0.64,-0.69,4.71,18.5
* c Ori,05 35 23.164,-04 50 18.088,4.52,-7.11,3.69,47.1
NGC 1981,05 35 23.5,-04 29 10.0,1.071,0.614,2.5387,28.8
NGC 1980,05 35 14.4,-05 55 26.0,1.215,0.54,2.586,23.0
* iot Ori,05 35 25.982,-05 54 35.644,1.42,-0.46,1.4,27.6
* ups Ori,05 31 55.86,-07 18 5.537,-0.1,-4.87,1.14,16.0
HD 36960,05 35 2.681,-06 00 7.304,-0.66,0.01,2.02,27.7
* alf Lep,05 32 43.816,-17 49 20.241,3.56,1.18,1.47,25.1
* bet Lep,05 28 14.723,-20 45 33.988,-5.02,-86.01,20.34,-14.2
* eps Col,05 31 12.747,-35 28 13.824,27.627,-32.416,11.73,-4.9
* zet Tau,05 37 38.685,+21 08 33.159,1.78,-20.07,7.33,20.0
* 126 Tau,05 41 17.718,+16 32 2.925,3.5,-15.47,5.13,21.9
* ome Ori,05 39 11.146,+04 07 17.279,0.84,0.0,2.36,21.8
* b Ori,05 42 28.632,+01 28 28.666,-54.59,-14.371,10.6744,87.55
* sig Ori,05 38 44.765,-02 36 0.283,4.6,-0.4,3.04,29.9
HD 37756,05 40 50.715,-01 07 43.637,-1.5,-0.84,3.63,26.1
* zet Ori,05 40 45.527,-01 56 33.265,3.19,2.03,4.43,18.5
* d Ori,05 38 53.083,-07 12 46.187,-15.402,-49.302,22.9587,-5.3
* kap Ori,05 47 45.389,-09 40 10.578,1.46,-1.28,5.04,20.5
* zet Lep,05 46 57.341,-14 49 19.02,-14.54,-1.07,46.28,24.7
* gam Lep,05 44 27.791,-22 26 54.188,-291.757,-368.521,112.296,-9.199
* alf Col,05 39 38.941,-34 04 26.795,1.58,-24.82,12.48,35.0
* bet Aur,05 59 31.723,+44 56 50.757,-56.44,-0.95,40.21,-15.75
* tau Aur,05 49 10.438,+39 10 51.863,-28.3,-24.97,15.77,-19.39
* nu. Aur,05 51 29.369,+39 08 54.686,7.958,0.713,16.1414,9.92
* ups Aur,05 51 2.437,+37 18 20.051,36.426,-45.606,5.7358,37.67
* tet Aur,05 59 43.27,+37 12 45.305,43.63,-73.79,19.7,29.3
* 136 Tau,05 53 19.646,+27 36 44.138,3.72,-10.11,7.71,-16.1
* 139 Tau,05 57 59.656,+25 57 14.08,-2.06,-1.95,2.1,8.0
* 132 Tau,05 49 0.971,+24 34 2.859,-13.211,-13.716,6.3528,15.8
* chi01 Ori,05 54 22.983,+20 16 34.222,-162.54,-99.51,115.43,-15.42
* 134 Tau,05 49 32.93,+12 39 4.758,-22.98,-18.22,13.11,20.5
* alf Ori,05 55 10.305,+07 24 25.43,27.54,11.3,6.55,21.91
* 56 Ori,05 52 26.439,+01 51 18.496,-6.89,-7.973,2.5424,11.27
* eta Lep,05 56 24.293,-14 10 3.718,-41.474,139.222,66.8573,-2.14
* del Lep,05 51 19.296,-20 52 44.731,229.027,-647.93,28.4234,101.76
* lam Col,05 53 6.882,-33 48 4.908,-4.095,31.125,9.466,30.0
* bet Col,05 50 57.592,-35 46 5.915,54.77,404.2,37.41,89.4
* gam Col,05 57 32.21,-35 16 59.815,-3.24,10.21,3.75,24.2
* ksi Col,05 55 29.915,-37 07 14.459,34.59,-14.688,10.1427,59.5
* eta Col,05 59 8.805,-42 48 54.482,18.39,-10.87,6.91,17.0
* 1 Gem,06 04 7.215,+23 15 48.04,-1.61,-118.33,21.03,22.39
* chi02 Ori,06 03 55.184,+20 08 18.428,0.962,-2.5,0.7636,16.8
* nu. Ori,06 07 34.326,+14 46 6.506,6.78,-20.23,6.32,24.1
* mu. Ori,06 02 22.997,+09 38 50.182,10.43,-39.09,21.05,0.0
HD 40657,06 00 3.35,-03 04 27.33,10.754,-73.701,9.7817,25.9
* tet Lep,06 06 9.324,-14 56 6.919,-17.005,13.152,19.4991,32.0
* 17 Lep,06 04 59.129,-16 29 3.969,-5.955,-3.68,3.5742,15.1
* tet Col,06 07 31.633,-37 15 10.509,0.391,0.121,4.1731,45.3
* kap Aur,06 15 22.689,+29 29 53.076,-70.88,-261.42,18.43,21.09
* eta Gem,06 14 52.645,+22 30 24.434,-59.53,-7.766,4.7312,22.39
* f01 Ori,06 12 3.28,+16 07 49.461,5.49,-16.8,6.17,22.0
* ksi Ori,06 11 56.397,+14 12 31.556,0.29,-20.12,5.37,19.3
HD 44131,06 19 59.601,-02 56 40.177,-6.42,-1.26,7.02,48.6
* gam Mon,06 14 51.334,-06 16 29.188,-4.69,-19.3,6.55,-4.8
* zet CMa,06 20 18.792,-30 03 48.12,7.32,4.03,9.0,32.2
* del Col,06 22 6.825,-33 26 11.036,-22.946,-52.045,15.049,-2.6
* kap Col,06 16 33.135,-35 08 25.863,-0.28,87.94,17.87,23.7
* mu. Gem,06 22 57.627,+22 30 48.898,56.39,-110.03,14.08,54.38
* nu. Gem,06 28 57.786,+20 12 43.686,-6.82,-13.1,5.99,39.4
* 13 Mon,06 32 54.228,+07 19 58.691,-1.698,-4.845,1.2159,11.8
* eps Mon A,06 23 46.085,+04 35 34.377,-15.127,7.701,24.0777,13.1
* bet Mon,06 28 49.07,-07 01 59.01,-6.86,-2.76,4.82,17.2
* bet CMa,06 22 41.985,-17 57 21.307,-3.23,-0.78,6.62,33.7
* ksi01 CMa,06 31 51.366,-23 25 6.318,-2.91,6.22,2.36,26.9
* lam CMa,06 28 10.207,-32 34 48.245,-14.41,25.21,7.7,41.0
* psi02 Aur,06 39 19.827,+42 29 19.956,-0.576,-55.657,8.0927,16.29
* eps Gem,06 43 55.926,+25 07 52.051,-5.57,-12.36,3.86,7.77
* gam Gem,06 37 42.71,+16 23 57.41,13.81,-54.96,29.84,-12.63
* 30 Gem,06 43 59.287,+13 13 40.8,-0.452,-52.279,10.3816,12.61
* 15 Mon,06 40 58.66,+09 53 44.723,-2.61,-1.61,3.55,22.0
Cl Collinder 106,06 37 6.7,+06 00 7.0,-1.472,0.531,0.635,28.7
HD 47667,06 39 16.719,-14 08 44.743,4.864,-6.656,3.1086,29.03
* nu.03 CMa,06 37 53.421,-18 14 14.93,-7.166,-8.777,6.7876,-1.09
* nu.02 CMa,06 36 41.038,-19 15 21.169,62.66,-69.816,48.849,2.57
* ksi02 CMa,06 35 3.388,-22 57 53.264,16.316,16.885,8.0342,26.0
* nu. Pup,06 37 45.671,-43 11 45.36,-0.44,-3.87,8.78,30.9
* psi07 Aur,06 50 45.943,+41 46 52.43,-25.542,-137.253,9.6073,59.5
* tet Gem,06 52 47.339,+33 57 40.517,-1.66,-47.31,17.25,21.0
* ksi Gem,06 45 17.364,+12 53 44.131,-115.73,-190.55,55.56,27.2
* e Gem,06 54 38.638,+13 10 40.243,68.745,-86.832,33.9184,24.0
* 17 Mon,06 47 19.83,+08 02 14.123,-24.428,-11.916,6.3783,46.19
* 18 Mon,06 47 51.648,+02 24 43.835,-17.309,-15.921,8.2744,11.29
* tet CMa,06 54 11.399,-12 02 19.061,-136.654,-14.322,12.0676,96.2
* iot CMa,06 56 8.224,-17 03 15.267,-3.56,2.42,1.3,41.2
M 41,06 45 59.8,-20 42 58.0,-4.339,-1.381,1.36,23.52
* pi. CMa,06 55 37.43,-20 08 11.389,51.109,39.971,33.5731,8.0
* 15 CMa,06 53 32.907,-20 13 27.318,-5.46,3.58,2.68,28.0
* omi01 CMa,06 54 7.952,-24 11 3.16,-3.771,4.066,1.2869,36.3
* kap CMa,06 49 50.459,-32 30 30.522,-8.84,3.73,4.95,14.0
HD 50235,06 50 52.352,-34 22 2.346,3.452,1.129,3.637,31.72
* zet Gem,07 04 6.531,+20 34 13.074,-7.738,-0.943,3.0729,10.37
* gam CMa,07 03 45.493,-15 37 59.83,-0.14,-11.36,7.38,32.0
* omi02 CMa,07 03 1.472,-23 49 59.852,-2.21,3.61,1.18,48.4
* eps CMa,06 58 37.549,-28 58 19.51,3.24,1.33,8.05,27.3
* sig CMa,07 01 43.148,-27 56 5.39,-5.98,4.59,2.91,22.11
* 63 Aur,07 11 39.327,+39 19 13.981,45.314,2.986,7.6144,-27.89
* tau Gem,07 11 8.37,+30 14 42.59,-30.725,-48.515,8.3261,21.27
* lam Gem,07 18 5.579,+16 32 25.39,-46.157,-36.007,32.6068,-7.4
* del Mon,07 11 51.861,-00 29 33.971,0.79,4.52,8.49,15.0
* 20 Mon,07 10 13.682,-04 14 13.585,-0.46,217.452,16.811,77.75
* 145 CMa,07 16 36.835,-23 18 56.138,-3.816,3.896,1.2155,28.05
* del CMa,07 08 23.484,-26 23 35.518,-3.12,3.31,2.03,33.67
* ome CMa,07 14 48.654,-26 46 21.61,-11.88,6.87,3.58,23.2
* 29 CMa,07 18 40.379,-24 33 31.318,-2.865,3.678,0.8549,20.0
* tau CMa,07 18 42.486,-24 57 15.741,-2.31,5.02,1.09,49.4
* 27 CMa,07 14 15.212,-26 21 9.031,-6.91,3.17,1.88,16.3
HD 56618,07 16 34.993,-27 52 52.245,-13.193,38.623,7.6228,41.5
Cl Collinder 132,07 13 56.4,-30 45 29.0,-4.14,3.732,1.501,26.0
* ups01 Pup,07 18 18.393,-36 44 2.233,-10.25,5.82,4.06,18.6
Cl Collinder 135,07 17 26.9,-37 02 38.0,-9.975,6.157,3.278,16.03
* pi. Pup,07 17 8.557,-37 05 50.896,-10.05,6.47,4.04,15.8
* A Pup,07 08 51.068,-39 39 20.358,-10.69,7.71,4.48,19.5
* rho Gem,07 29 6.719,+31 47 4.377,159.09,193.29,55.41,-2.67
* iot Gem,07 25 43.595,+27 47 53.093,-122.66,-84.03,27.1,7.432
* del Gem,07 20 7.375,+21 58 56.295,-27.722,-14.702,53.7692,4.1
* 6 CMi,07 29 47.782,+12 00 23.635,-0.57,-18.85,5.7,-16.31
* eps CMi,07 25 38.9,+09 16 33.926,-4.583,-8.414,3.9908,-6.9
* gam CMi,07 28 9.794,+08 55 31.888,-62.112,11.141,3.134,46.8
* bet CMi,07 27 9.042,+08 17 21.537,-51.76,-38.29,20.17,22.0
HD 57821,07 22 13.529,-19 00 59.765,-1.69,-6.91,6.78,32.9
HD 59612,07 29 51.412,-23 01 27.445,-2.831,4.172,0.7535,35.0
* eta CMa,07 24 5.702,-29 18 11.18,-4.14,5.81,1.64,41.1
* omi Gem,07 39 9.935,+34 35 3.503,-37.975,-105.132,19.3338,7.3
* alf Gem,07 34 35.873,+31 53 17.816,-191.45,-145.19,64.12,5.4
* ups Gem,07 35 55.35,+26 53 44.68,-32.841,-106.002,12.8761,-21.61
* alf CMi,07 39 18.12,+05 13 29.955,-714.59,-1036.8,284.56,-15.908408
* alf Mon,07 41 14.833,-09 33 4.071,-74.61,-19.59,22.07,11.161
* 140 Pup,07 40 23.21,-15 15 50.111,-2.171,-27.678,4.6915,0.5
V* KQ Pup,07 33 47.967,-14 31 26.054,-6.997,3.998,1.3538,22.0
HD 60532,07 34 3.181,-22 17 45.843,-40.18,46.791,38.1379,61.042
* m Pup,07 38 18.046,-25 21 53.301,-2.344,-6.468,4.8542,19.46
* k01 Pup,07 38 49.375,-26 48 6.325,-18.556,11.081,9.0301,23.6
* k02 Pup,07 38 49.871,-26 48 13.85,-17.567,21.662,8.3058,33.0
* p Pup,07 35 22.892,-28 22 9.605,-60.256,-7.742,13.6185,3.3
HD 59890,07 30 42.602,-30 57 44.21,-11.969,1.055,2.3999,15.87
* f Pup,07 37 22.11,-34 58 6.711,-14.21,16.32,9.05,24.0
* d01 Pup,07 39 27.339,-38 18 28.884,-20.7,16.079,5.1576,26.4
* sig Gem,07 43 18.727,+28 53 0.642,62.66,-230.32,26.08,44.15
* bet Gem,07 45 18.95,+28 01 34.316,-626.55,-45.8,96.54,3.391
* kap Gem,07 44 26.854,+24 23 52.787,-23.39,-54.57,23.07,20.15
* g Gem,07 46 7.448,+18 30 35.993,-77.972,-51.68,10.5086,83.13
* ksi Pup,07 49 17.656,-24 51 35.23,-4.81,-0.89,2.72,2.8
* omi Pup,07 48 5.168,-25 56 13.812,-10.09,4.26,2.3,15.0
* l Pup,07 43 48.469,-28 57 17.372,-5.09,3.9,0.59,20.9
* 1 Pup,07 43 32.387,-28 24 39.189,-13.782,29.646,4.1384,32.4
* c Pup,07 45 15.296,-37 58 6.9,-10.18,6.34,2.88,16.83
* a Pup,07 52 13.032,-40 34 32.814,-11.774,7.368,8.9838,24.0
* chi Gem,08 03 31.1,+27 47 39.663,-32.315,-46.221,12.7475,-3.83
* phi Gem,07 53 29.808,+26 45 56.813,-27.843,-30.555,18.038,8.0
* G CMi,08 02 15.937,+02 20 4.459,-28.194,105.65,12.5234,71.57
* 28 Mon,08 01 13.336,-01 23 33.393,67.6,-76.26,7.25,26.7
* 27 Mon,07 59 44.153,-03 40 46.508,-53.772,-2.687,10.3645,-28.02
HD 65810,07 59 52.048,-18 23 57.181,6.455,-43.718,14.5984,-13.3
* j Pup,07 56 51.539,-22 52 48.434,-30.42,11.49,6.25,15.18
* chi Pup,07 57 40.106,-30 20 4.456,-8.22,6.546,1.7157,30.0
* zet Pup,08 03 35.048,-40 00 11.332,-29.71,16.68,3.01,-23.9
* b Pup,07 52 38.647,-38 51 46.13,-8.92,3.34,5.03,29.5
* zet Mon,08 08 35.647,-02 59 1.636,-18.81,-4.5,3.08,31.2
* 19 Pup,08 11 16.306,-12 55 37.195,-25.79,8.09,18.46,35.78
* 20 Pup,08 13 19.967,-15 47 17.609,-12.796,-3.749,3.1741,17.07
* 16 Pup,08 09 1.637,-19 14 42.052,-9.87,-5.55,7.01,19.9
* rho Pup,08 07 32.649,-24 18 15.568,-83.35,46.23,51.33,45.8
* r Pup,08 13 29.517,-35 53 58.266,-7.3,9.75,3.51,35.0
* h01 Pup,08 11 21.493,-39 37 6.759,-9.072,3.211,2.3831,16.2
* bet Cnc,08 16 30.921,+09 11 7.958,-46.82,-49.24,10.75,22.94
* 30 Mon,08 25 39.632,-03 54 23.118,-66.43,-23.41,26.66,10.0
* w Pup,08 21 23.026,-33 03 15.714,-11.721,3.316,2.5049,33.2
* q Pup,08 18 33.313,-36 39 33.439,-110.33,100.48,34.93,6.4
* iot Cnc,08 46 41.82,+28 45 35.615,-22.07,-43.699,9.4124,15.74
* gam Cnc,08 43 17.148,+21 28 6.601,-103.51,-39.48,18.0,28.7
* del Cnc,08 44 41.099,+18 09 15.503,-17.67,-229.26,24.98,17.14
* eps Hya,08 46 46.512,+06 25 7.686,-228.11,-43.82,25.23,40.46
* del Hya,08 37 39.367,+05 42 13.636,-68.867,-7.551,18.4301,11.3
* rho Hya,08 48 25.971,+05 50 16.128,-17.33,-29.41,9.21,32.8
* sig Hya,08 38 45.437,+03 20 29.17,-19.48,-15.92,8.75,27.06
* eta Hya,08 43 13.475,+03 23 55.187,-19.39,-1.08,5.56,16.1
* F Hya,08 43 40.373,-07 14 1.432,-11.62,-1.36,4.24,27.68
* a Hya,08 40 1.471,-12 28 31.349,-81.269,2.03,7.7464,-7.68
* D Hya,08 46 22.544,-13 32 51.805,10.316,-15.012,15.884,-6.64
* 9 Hya,08 41 43.336,-15 56 36.187,3.416,-96.804,15.7077,-1.98
* zet Pyx,08 39 42.474,-29 33 39.905,-24.751,-91.427,13.863,-29.39
* alf Pyx,08 43 35.538,-33 11 10.99,-14.27,10.43,3.71,15.3
* bet Pyx,08 40 6.144,-35 18 30.065,9.84,-20.8,7.84,-13.4
* alf Cnc,08 58 29.204,+11 51 27.649,42.181,-31.16,18.3304,-12.1
* zet Hya,08 55 23.626,+05 56 44.035,-100.06,15.46,19.51,22.3
* gam Pyx,08 50 31.923,-27 42 35.442,-134.31,87.89,15.73,24.5
* del Pyx,08 55 31.567,-27 40 54.654,82.731,-101.976,14.0808,5.4
* lam Gru,22 06 6.886,-39 32 36.066,-23.8,-124.58,13.47,38.8
* mu.01 Gru,22 15 36.919,-41 20 48.345,41.607,41.819,9.3332,-4.82
* rho Gru,22 43 29.977,-41 24 51.647,10.11,-93.79,14.16,30.89
* tet Gru,23 06 52.73,-43 31 13.286,-47.17,-13.49,24.73,9.6
* iot Phe,23 35 4.56,-42 36 54.503,47.072,8.543,12.3056,19.4
* alf Phe,00 26 17.051,-42 18 21.554,233.05,-356.3,38.5,74.6
* kap Phe,00 26 12.201,-43 40 47.39,106.394,32.491,41.7228,11.3
* gam Mic,21 01 17.46,-32 15 27.957,-1.73,0.41,14.24,17.5
* eps Mic,21 17 56.284,-32 10 21.152,54.36,-23.29,17.9,7.2
* gam Gru,21 53 55.726,-37 21 53.479,98.07,-13.22,15.45,0.1
* bet For,02 49 5.419,-32 24 21.232,86.023,159.404,18.4596,17.82
* iot PsA,21 44 56.81,-33 01 32.815,31.169,-94.291,15.3346,3.0
* ups PsA,22 08 25.931,-34 02 37.825,4.55,-49.02,7.69,20.36
* bet Scl,23 32 58.261,-37 49 5.826,90.311,24.091,17.8057,2.15
* mu. PsA,22 08 23.011,-32 59 18.492,74.256,-25.79,27.0888,11.6
* tau PsA,22 10 8.78,-32 32 54.27,428.832,13.475,54.1773,-15.902
* bet PsA,22 31 30.33,-32 20 45.865,59.12,-18.83,22.84,5.5
* gam PsA,22 52 31.53,-32 52 31.658,-30.953,-33.89,14.634,16.5
* ome For,02 33 50.701,-28 13 56.416,-13.843,-3.79,6.7146,9.7
* 24 Cap,21 07 7.667,-25 00 21.079,-28.09,-44.14,7.15,32.1
* del PsA,22 55 56.9,-32 32 22.646,11.62,32.638,19.1618,-10.69
* gam Scl,23 18 49.441,-32 31 55.289,20.13,-77.72,17.9,15.6
* eta Scl,00 27 55.698,-33 00 25.797,-20.07,-49.425,5.8984,12.1
* nu. For,02 04 29.439,-29 17 48.548,12.79,8.48,8.79,18.5
* eps PsA,22 40 39.348,-27 02 37.015,21.839,-1.588,5.9219,1.1
* alf PsA,22 57 39.046,-29 37 20.053,328.95,-164.67,129.81,6.5
* del Scl,23 48 55.547,-28 07 48.974,100.8,-105.34,23.73,8.7
* alf Scl,00 58 36.359,-29 21 26.825,20.13,5.31,4.2,9.6
* eta Cap,21 04 24.301,-19 51 17.971,-37.62,-24.95,20.2,23.8
* zet Cap,21 26 40.026,-22 24 40.804,-2.23,18.1,8.46,2.1
* b Cap,21 28 43.401,-21 48 25.847,134.861,-5.498,17.4704,-22.2
* 56 Cet,01 56 40.203,-22 31 36.425,60.374,-24.635,7.329,27.38
* tau02 Eri,02 51 2.322,-21 00 14.465,-38.52,-16.05,17.45,-5.9
* tet Cap,21 05 56.828,-17 13 58.302,79.33,-62.01,20.11,-10.9
* eps Cap,21 37 4.831,-19 27 57.646,12.79,0.28,3.09,-23.7
* 89 Aqr,23 09 54.897,-22 27 27.419,32.61,-9.76,6.47,-2.1
* c01 Aqr,23 06 40.848,-23 44 34.764,61.661,-34.184,17.2892,15.2
* ups Cet,02 00 0.309,-21 04 40.195,134.92,-24.59,11.14,18.0
* tau01 Eri,02 45 6.199,-18 34 21.442,318.568,48.171,70.0459,25.9
* iot Cap,21 22 14.796,-16 50 4.36,30.0,4.52,16.58,12.271
* kap Cap,21 42 39.508,-18 51 58.755,146.354,-8.343,10.6991,-2.6
* gam Cap,21 40 5.456,-16 39 44.307,187.56,-22.45,20.77,-31.2
* g Aqr,22 43 35.233,-18 49 49.356,-31.73,-28.54,7.53,21.7
* c02 Aqr,23 09 26.796,-21 10 20.695,53.452,30.201,12.671,21.3
* b01 Aqr,23 22 58.226,-20 06 2.096,-121.28,-97.59,19.96,-6.1
* b02 Aqr,23 26 2.786,-20 38 31.263,-50.72,-64.22,11.51,15.7
* b03 Aqr,23 33 16.623,-20 54 52.216,-3.41,8.46,11.11,15.0
* del Cap,21 47 2.444,-16 07 38.234,261.7,-296.7,84.27,-3.4
* 104 Aqr,23 41 45.806,-17 48 59.515,14.332,0.679,4.5743,6.52
* 2 Cet,00 03 44.388,-17 20 9.572,25.17,-9.16,11.98,8.0
* 7 Cet,00 14 38.417,-18 55 58.314,-26.15,-73.58,7.29,-22.5
* bet Cet,00 43 35.371,-17 59 11.783,232.55,31.99,33.86,13.257
* tau Cet,01 44 4.083,-15 56 14.928,-1721.728,854.963,273.8097,-16.597
* sig Cet,02 32 5.229,-15 14 40.828,-80.21,-146.29,37.46,-26.82
* pi. Cet,02 44 7.349,-13 51 31.313,-8.62,-9.07,8.3,14.98
* nu. Aqr,21 09 35.649,-11 22 18.085,94.12,-14.62,20.47,-11.26
* iot Aqr,22 06 26.227,-13 52 10.861,36.89,-58.99,18.62,-9.0
* tau Aqr,22 49 35.502,-13 35 33.477,-13.71,-39.03,10.27,1.1
* del Aqr,22 54 39.006,-15 49 14.95,-34.152,-26.359,23.1451,17.4
* ome01 Aqr,23 39 47.069,-14 13 19.753,50.434,-49.097,24.9012,-2.0
* ome02 Aqr,23 42 43.345,-14 32 41.66,98.578,-66.231,20.8948,-0.12
* 6 Cet,00 11 15.858,-15 28 4.72,-82.828,-269.549,52.9489,14.917
* 46 Cet,01 25 37.239,-14 35 55.627,38.357,-18.188,11.3726,-25.25
* rho Cet,02 25 57.006,-12 17 25.708,-11.596,-9.786,5.8054,18.9
* eps Cet,02 39 33.797,-11 52 19.552,161.62,-230.53,42.4864,15.49
* sig Aqr,22 30 38.821,-10 40 40.505,-4.095,-38.019,15.8247,11.7
* chi Cet,01 49 35.103,-10 41 11.071,-147.867,-93.48,42.5848,0.61
* zet Cet,01 51 27.631,-10 20 6.112,39.752,-40.956,12.877,7.8
* eta Eri,02 56 25.649,-08 53 53.322,77.36,-220.16,23.89,-20.32
* ksi Aqr,21 37 45.109,-07 51 15.13,114.2,-25.03,18.26,-18.0
* tet Aqr,22 16 50.037,-07 46 59.839,118.929,-21.928,17.0893,-13.77
* psi01 Aqr,23 15 53.494,-09 05 15.845,369.477,-16.981,22.0924,-26.008
* psi02 Aqr,23 17 54.214,-09 10 57.068,17.13,-11.7,8.12,-5.0
* 3 Cet,00 04 30.118,-10 30 34.285,-6.85,-12.02,1.56,-42.1
* iot Cet,00 19 25.674,-08 49 26.111,-15.15,-37.11,11.88,19.35
* phi01 Cet,00 44 11.4,-10 36 34.382,-8.96,-113.82,13.96,-0.1
* eta Cet,01 08 35.391,-10 10 56.157,215.61,-139.02,26.32,11.1
* tet Cet,01 24 1.405,-08 10 59.721,-77.94,-206.53,28.66,17.2
* bet Aqr,21 31 33.532,-05 34 16.232,18.77,-8.21,6.07,6.451
* lam Aqr,22 52 36.874,-07 34 46.549,14.964,32.742,8.936,-10.46
* phi Aqr,23 14 19.358,-06 02 56.423,36.575,-195.441,14.3482,2.48
* 30 Psc,00 01 57.619,-06 00 50.654,46.941,-40.471,7.8758,-11.7
* 33 Psc,00 05 20.142,-05 42 27.428,-6.54,87.85,25.32,-6.56
* 27 Psc,23 58 40.377,-03 33 21.538,-57.13,-72.08,13.91,-0.2
HD 10550,01 42 43.512,-03 41 24.718,-9.745,-33.429,3.0983,-33.28
* omi Aqr,22 03 18.844,-02 09 19.307,24.66,-11.16,7.49,11.0
* alf Aqr,22 05 47.036,-00 19 11.457,18.25,-9.39,6.23,6.829
* zet02 Aqr,22 28 49.889,-00 01 11.873,180.832,33.072,34.507,24.9
* zet01 Aqr,22 28 49.886,-00 01 13.962,224.295,25.396,34.4525,28.9
* zet Aqr,22 28 49.907,-00 01 11.794,182.92,50.36,35.5,25.3
* gam Aqr,22 21 39.372,-01 23 14.457,134.223,11.219,25.8551,-15.7
* 20 Cet,00 53 0.495,-01 08 39.332,6.99,-15.66,5.56,16.22
* pi. Aqr,22 25 16.623,+01 22 38.635,17.83,2.41,4.17,-4.9
* kap Psc,23 26 55.956,+01 15 20.178,87.005,-95.945,20.3154,-4.4
* lam Psc,23 42 2.806,+01 46 48.148,-129.7,-154.8,30.59,10.0
* del Cet,02 39 28.956,+00 19 42.634,12.85,-2.94,5.02,13.0
* 35 Peg,22 27 51.523,+04 41 44.404,77.903,-306.244,21.0724,54.319
* bet Psc,23 03 52.613,+03 49 12.166,11.76,-9.85,7.99,0.0
* gam Psc,23 17 9.937,+03 16 56.238,759.82,17.77,23.64,-14.48
